Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Gene family description	Ensembl ID (mapped data supplied by Ensembl)
RN7SL7P	RN7SLP4	7L23	NG_002428	"ncRNAs / RNA pseudogenes", "ncRNAs / Small nuclear and cytoplasmic RNAs : Cytoplasmic"	
RN7SL8P	RN7SLP5	7L63	NG_002429	"ncRNAs / RNA pseudogenes", "ncRNAs / Small nuclear and cytoplasmic RNAs : Cytoplasmic"	
RN18S1			NR_003286		ENSG00000225840
RN18S2P			NG_002801	"ncRNAs / RNA pseudogenes"	
RN28S1			NR_003287		ENSG00000226958
RNASE1	RNS1			"Ribonucleases, RNase A"	ENSG00000129538
RNASE2	RNS2	EDN		"Ribonucleases, RNase A"	ENSG00000169385
RNASE3	RNS3	ECP	NM_002935	"Ribonucleases, RNase A"	ENSG00000169397
RNASE4				"Ribonucleases, RNase A"	ENSG00000181784
RNASE6	RNS6			"Ribonucleases, RNase A"	ENSG00000169413
RNASE7			NM_032572	"Ribonucleases, RNase A"	ENSG00000165799
RNASE8			NM_138331	"Ribonucleases, RNase A"	ENSG00000173431
RNASE9		h461	NM_001001673	"Ribonucleases, RNase A"	ENSG00000188655
RNASE10		RNASE9	XM_292225	"Ribonucleases, RNase A"	ENSG00000182545
RNASE11	C14orf6		NM_145250	"Ribonucleases, RNase A"	ENSG00000173464
RNASE12				"Ribonucleases, RNase A"	ENSG00000206171
RNASE13				"Ribonucleases, RNase A"	ENSG00000206150
RNASEH1					ENSG00000171865
RNASEH1P1	RNASEH1	RNH1			
RNASEH1P2					
RNASEH1P3			NG_001567		
RNASEH2A		RNASEHI, RNHIA, RNHL, AGS4	NM_006397		ENSG00000104889
RNASEH2B	DLEU8, AGS2	FLJ11712	NM_024570		ENSG00000136104
RNASEH2B-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000233672
RNASEH2C		AYP1, AGS3	NM_032193		ENSG00000172922
RNASEH2CP1		AYP1p1	NG_011584		ENSG00000237659
RNASEK		MGC71993	NM_001004333		ENSG00000219200
RNASEL	RNS4, PRCA1		NM_021133		ENSG00000135828
RNASEL1~withdrawn					
RNASET2		RNASE6PL, FLJ10907, bA514O12.3	NM_003730		ENSG00000026297
RND1		Rho6, ARHS, RHOS	NM_014470	"Ras homolog gene family"	ENSG00000172602
RND2	ARHN	Rho7, RhoN	NM_005440	"Ras homolog gene family"	ENSG00000108830
RND3	ARHE	RhoE, Rho8	NM_005168	"Ras homolog gene family"	ENSG00000115963
RNE1~withdrawn					
RNE2~withdrawn					
RNE3~withdrawn					
RNF2		BAP-1, BAP1, DING, HIPI3, RING1B, RING2	NM_007212	"RING-type zinc fingers"	ENSG00000121481
RNF2P1	RNF2P		NG_008708		ENSG00000231381
RNF4		RES4-26, SNURF, SLX5	NM_002938	"RING-type zinc fingers"	ENSG00000063978
RNF5		NG2, G16, RING5, RMA1	NM_006913	"RING-type zinc fingers"	
RNF5P1				"RING-type zinc fingers"	ENSG00000253570
RNF6		DKFZp686P0776	NM_005977	"RING-type zinc fingers"	ENSG00000127870
RNF6P1					ENSG00000227406
RNF7		SAG, ROC2, CKBBP1	NM_014245	"RING-type zinc fingers"	ENSG00000114125
RNF7P1			NG_030103		ENSG00000239831
RNF8		KIAA0646		"RING-type zinc fingers"	ENSG00000112130
RNF10		KIAA0262, RIE2		"RING-type zinc fingers"	ENSG00000022840
RNF11		CGI-123, Sid1669p, MGC51169	NM_014372	"RING-type zinc fingers"	ENSG00000123091
RNF11P1					
RNF11P2	RNF11B	bA280O9.1		"RING-type zinc fingers"	
RNF13		RZF	NM_183384	"RING-type zinc fingers"	ENSG00000082996
RNF14		ARA54, HFB30, TRIAD2	NM_004290	"RING-type zinc fingers"	ENSG00000013561
RNF17	TDRD4	Mmip-2, SPATA23, FLJ11045	NM_031994	"RING-type zinc fingers"	ENSG00000132972
RNF19A	RNF19	dorfin, DKFZp566B1346	NM_015435	"RING-type zinc fingers"	ENSG00000034677
RNF19B	IBRDC3	FLJ90005	NM_153341	"RING-type zinc fingers"	ENSG00000116514
RNF19BPX		RNF19BX			ENSG00000227434
RNF19BPY					ENSG00000225653
RNF20		FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	NM_019592	"RING-type zinc fingers"	ENSG00000155827
RNF24		G1L		"RING-type zinc fingers"	ENSG00000101236
RNF25		AO7, FLJ13906	NM_022453	"RING-type zinc fingers"	ENSG00000163481
RNF26		MGC2642	NM_032015	"RING-type zinc fingers"	ENSG00000173456
RNF31		ZIBRA, FLJ10111, FLJ23501	NM_017999	"RING-type zinc fingers"	ENSG00000092098
RNF32		FKSG33, HSD15	NM_030936	"RING-type zinc fingers"	ENSG00000105982
RNF33~withdrawn					
RNF34		RIFF, FLJ21786, RIF	NM_194271	"RING-type zinc fingers"	ENSG00000170633
RNF35~withdrawn				"RING-type zinc fingers"	
RNF38			NM_022781	"RING-type zinc fingers"	ENSG00000137075
RNF39		HZFw1, LIRF	NM_170769	"RING-type zinc fingers"	
RNF40		KIAA0661, RBP95, BRE1B, STARING	NM_014771	"RING-type zinc fingers"	ENSG00000103549
RNF41		SBBI03	NM_005785	"RING-type zinc fingers"	ENSG00000181852
RNF43		FLJ20315, DKFZp781H0392, URCC	NM_017763	"RING-type zinc fingers"	ENSG00000108375
RNF44		KIAA1100		"RING-type zinc fingers"	ENSG00000146083
RNF103	ZFP103	hkf-1, KF1	NM_005667	"RING-type zinc fingers"	ENSG00000239305
RNF103-CHMP3	RNF103-VPS24		NM_001198954.1		ENSG00000249884
RNF111		ARK, Arkadia, FLJ38008, DKFZP761D081	NM_017610	"RING-type zinc fingers"	ENSG00000157450
RNF112	ZNF179	BFP	NM_007148	"RING-type zinc fingers"	ENSG00000128482
RNF113A	ZNF183	RNF113, Cwc24	NM_006978	"RING-type zinc fingers"	ENSG00000125352
RNF113B	ZNF183L1	RNF161	NM_178861	"RING-type zinc fingers"	ENSG00000139797
RNF114	ZNF313	PSORS12	NM_018683	"RING-type zinc fingers"	ENSG00000124226
RNF115	ZNF364	CL469780	NM_014455	"RING-type zinc fingers"	ENSG00000121848
RNF121		FLJ11099	NM_018320	"RING-type zinc fingers"	ENSG00000137522
RNF122		FLJ12526	NM_024787	"RING-type zinc fingers"	ENSG00000133874
RNF123		FLJ12565	NM_022064	"RING-type zinc fingers"	ENSG00000164068
RNF125		FLJ20456	NM_017831	"RING-type zinc fingers"	ENSG00000101695
RNF126		FLJ20552	NM_017876	"RING-type zinc fingers"	ENSG00000070423
RNF126P1				"RING-type zinc fingers"	ENSG00000261192
RNF128		FLJ23516, GRAIL	NM_024539	"RING-type zinc fingers"	ENSG00000133135
RNF130		GP, G1RZFP, GOLIATH	NM_018434	"RING-type zinc fingers"	ENSG00000113269
RNF133			NM_139175	"RING-type zinc fingers"	ENSG00000188050
RNF135		MGC13061	NM_032322	"RING-type zinc fingers"	ENSG00000181481
RNF138		STRIN	NM_016271	"RING-type zinc fingers"	ENSG00000134758
RNF138P1			NR_001575	"RING-type zinc fingers"	ENSG00000250853
RNF139		TRC8, RCA1, HRCA1	NM_007218	"RING-type zinc fingers"	ENSG00000170881
RNF141		ZFP26, ZNF230	NM_016422	"RING-type zinc fingers"	ENSG00000110315
RNF144A	RNF144	UBCE7IP4, KIAA0161	NM_014746	"RING-type zinc fingers"	ENSG00000151692
RNF144B	IBRDC2	bA528A10.3	XM_172581	"RING-type zinc fingers"	ENSG00000137393
RNF145		FLJ31951	NM_144726	"RING-type zinc fingers"	ENSG00000145860
RNF146		DKFZp434O1427, dactylidin, dJ351K20.1	NM_030963	"RING-type zinc fingers"	ENSG00000118518
RNF148		MGC35222	NM_198085	"RING-type zinc fingers"	ENSG00000235631
RNF149		FLJ90504	NM_173647	"RING-type zinc fingers"	ENSG00000163162
RNF150		KIAA1214	XM_291090	"RING-type zinc fingers"	ENSG00000170153
RNF151				"RING-type zinc fingers"	ENSG00000179580
RNF152		FLJ39176	NM_173557	"RING-type zinc fingers"	ENSG00000176641
RNF157		KIAA1917	XM_290732	"RING-type zinc fingers"	ENSG00000141576
RNF165		ARKL2	NM_152470	"RING-type zinc fingers"	ENSG00000141622
RNF165-IT1~withdrawn				"ncRNAs / Long non-coding RNAs"	
RNF166		MGC2647, MGC14381	NM_178841	"RING-type zinc fingers"	ENSG00000158717
RNF167		DKFZP566H073	NM_015528	"RING-type zinc fingers"	ENSG00000108523
RNF168		FLJ35794	NM_152617	"RING-type zinc fingers"	ENSG00000163961
RNF169		KIAA1991	XM_495886	"RING-type zinc fingers"	ENSG00000166439
RNF170		DKFZP564A022	NM_030954	"RING-type zinc fingers"	ENSG00000120925
RNF175		FLJ34190	NM_173662	"RING-type zinc fingers"	ENSG00000145428
RNF180			NM_178532	"RING-type zinc fingers"	ENSG00000164197
RNF181		HSPC238	NM_016494	"RING-type zinc fingers"	ENSG00000168894
RNF182		MGC33993	NM_152737	"RING-type zinc fingers"	ENSG00000180537
RNF183		MGC4734	NM_145051	"RING-type zinc fingers"	ENSG00000165188
RNF185		FLJ38628	NM_152267	"RING-type zinc fingers"	ENSG00000138942
RNF185-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000254835
RNF186		FLJ20225	NM_019062	"RING-type zinc fingers"	ENSG00000178828
RNF187			NM_001010858	"RING-type zinc fingers"	ENSG00000168159
RNF207	C1orf188	FLJ46380, FLJ32096	NM_207396	"RING-type zinc fingers"	ENSG00000158286
RNF208		DKFZP761H1710	NM_031297	"RING-type zinc fingers"	ENSG00000212864
RNF212	LOC285498	FLJ38841	NM_194439	"RING-type zinc fingers"	ENSG00000178222
RNF213	C17orf27, KIAA1618, MYMY2	KIAA1554, NET57	NM_020914	"RING-type zinc fingers"	ENSG00000173821
RNF214		DKFZp547C195	NM_001077239	"RING-type zinc fingers"	ENSG00000167257
RNF215			NM_001017981	"RING-type zinc fingers"	ENSG00000099999
RNF216		TRIAD3, U7I1, UBCE7IP1, ZIN	NM_207111	"RING-type zinc fingers"	ENSG00000011275
RNF216-IT1				"ncRNAs / Long non-coding RNAs"	ENSG00000237738
RNF216P1	RNF216L		XM_001126561		ENSG00000196204
RNF217	C6orf172, IBRDC1	MGC26996, dJ84N20.1	NM_152553	"RING-type zinc fingers"	ENSG00000146373
RNF219	C13orf7	FLJ13449	NM_024546	"RING-type zinc fingers"	ENSG00000152193
RNF220	C1orf164	FLJ10597	NM_018150	"RING-type zinc fingers"	ENSG00000187147
RNF222			NM_001146684.2	"RING-type zinc fingers"	ENSG00000189051
RNF223			NM_001205252	"RING-type zinc fingers"	ENSG00000237330
RNF224			NM_001190228	"RING-type zinc fingers"	ENSG00000233198
RNFT1		PTD016	NM_016125	"RING-type zinc fingers"	ENSG00000189050
RNFT2	TMEM118	FLJ14627	NM_032814	"RING-type zinc fingers"	ENSG00000135119
RNGTT		HCE, HCE1, hCAP		"Protein tyrosine phosphatases / Class I Cys-based PTPs : Atypical dual specificity phosphatases"	ENSG00000111880
RNGTTP1			NG_025063		ENSG00000237731
RNH1	RNH	RAI	NM_203389		ENSG00000023191
RNLS	C10orf59	FLJ11218, renalase	NM_018363		ENSG00000184719
RNMT		RG7MT1	NM_003799		ENSG00000101654
RNMTL1		FLJ10581, HC90	NM_018146		ENSG00000171861
RNNL~withdrawn					
RNN~withdrawn					
RNPC3		KIAA1839, FLJ20008, RBM40	NM_017619		ENSG00000185946
RNPEP			NM_020216		ENSG00000176393
RNPEPL1			NM_018226		ENSG00000142327
RNPS1			NM_080594		ENSG00000205937
RNPS1P1					ENSG00000250896
RNPU1Z~withdrawn					
RNR1					
RNR2					
RNR3					
RNR4					
RNR5					
RNRP1~withdrawn					
RNRP2~withdrawn					
RNS1~withdrawn					
RNS2~withdrawn					
RNS3~withdrawn					
RNS4I~withdrawn					
RNS4~withdrawn					
RNS6~withdrawn					
RNU1-1	RNU1, RNU1G4, RNU1A3, RNU1A	Rnu1a1, U1, HU1-1, U1A1, HSD1	NR_004430	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206652
RNU1-2	RNU1C1, RNU1C2	U1C1, U1C21	NR_004427	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207005
RNU1-3	RNU1G3	HSD4	NR_004408	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207513
RNU1-4	RNU1E2, RNU1G2, RNU1D2, RNU1F1, RNU1G1	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7	NR_004421	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207389
RNU1-5	RNU1P1	U1P101, U1P15, U1.15	NR_004400	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206737
RNU1-6			NR_030723	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206585
RNU1-7			NR_004424	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206596
RNU1-8			NR_004402	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206588
RNU1-9			NR_004426	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207418
RNU1-10P	RNU1P10	U1P14, U1.4	NG_001259	"ncRNAs / RNA pseudogenes"	ENSG00000238603
RNU1-11P	RNU1P5	U1P1A, RNU1P1	NG_001264	"ncRNAs / RNA pseudogenes"	ENSG00000206702
RNU1-12P	RNU1P2	U1P2A		"ncRNAs / RNA pseudogenes"	ENSG00000202064
RNU1-13P	RNU1P6	U1P1, U1.1	NG_001263	"ncRNAs / RNA pseudogenes"	ENSG00000238825
RNU1-14P	RNU1P7	U1P17	NG_001262	"ncRNAs / RNA pseudogenes"	ENSG00000199629
RNU1-15P	RNU1P8	U1P11	NG_001261	"ncRNAs / RNA pseudogenes"	ENSG00000195024
RNU1-16P		U1.64		"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000202347
RNU1-17P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000199892
RNU1-18P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000199932
RNU1-19P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000200176
RNU1-20P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000200184
RNU1-21P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000200197
RNU1-22P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000200204
RNU1-23P				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000200231
RNU1-24P		U1.41		"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear", "ncRNAs / RNA pseudogenes"	ENSG00000201155
RNU1A3~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1B~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1C2~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1D2~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1E2~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1F1~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1G2~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1G4~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU1P1~withdrawn					
RNU1P3~withdrawn					
RNU1P4~withdrawn					
RNU1P9~withdrawn					
RNU1~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU2-1	RNU2	U2	NR_002716	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU2-2	RNU2B	U2	NR_002761	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000222328
RNU2-3P	RNU2P1	U2		"ncRNAs / RNA pseudogenes"	ENSG00000222076
RNU2-4P	RNU2P2	U2, U2/7		"ncRNAs / RNA pseudogenes"	ENSG00000222944
RNU2-5P	RNU2P3	U2, u2.7		"ncRNAs / RNA pseudogenes"	ENSG00000222465
RNU2-6P				"ncRNAs / RNA pseudogenes"	ENSG00000223336
RNU2-7P				"ncRNAs / RNA pseudogenes"	ENSG00000222726
RNU3A2~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU3A3~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU3B1~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU3B2~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU3B3~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU3B4~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU3P1		U3	NG_001185	"ncRNAs / RNA pseudogenes"	
RNU3P2		U3, U3.2		"ncRNAs / RNA pseudogenes"	
RNU3P3		U3, U3.5, u3.7	NG_001254	"ncRNAs / RNA pseudogenes"	ENSG00000252529
RNU3P4		U3, U3.6		"ncRNAs / RNA pseudogenes"	
RNU3~withdrawn					
RNU4-1	RNU4B2, RNU4A	U4BL, U4	NR_003925	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000200795
RNU4-1B~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU4-2	RNU4C, RNU4-1B, RNU4B1	U4c, U4b, U4A	NR_003137	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000202538
RNU4-3P	RNU4P3	U4, U4/4	NG_001252	"ncRNAs / RNA pseudogenes"	
RNU4-4P	RNU4P4	U4, U4/5	NG_001251	"ncRNAs / RNA pseudogenes"	ENSG00000201458
RNU4-5P	RNU4P5	U4, U4/6	NG_001250	"ncRNAs / RNA pseudogenes"	ENSG00000223279
RNU4-6P	RNU4P6	U4, U4/8		"ncRNAs / RNA pseudogenes"	ENSG00000222736
RNU4-7P	RNU4P1	U4, U4/7		"ncRNAs / RNA pseudogenes"	ENSG00000201628
RNU4-8P	RNU4P2	U4, U4/14	NG_001187	"ncRNAs / RNA pseudogenes"	ENSG00000201806
RNU4-9P				"ncRNAs / RNA pseudogenes"	ENSG00000201821
RNU4-10P				"ncRNAs / RNA pseudogenes"	ENSG00000201253
RNU4ATAC		RNU4ATAC1	NR_023343	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000208506
RNU4ATAC2P				"ncRNAs / RNA pseudogenes"	ENSG00000221601
RNU4ATAC3P				"ncRNAs / RNA pseudogenes"	ENSG00000252508
RNU4A~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU5A-1	RNU5C, RNU5A	U5A, U5B1	NR_002756	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000199568
RNU5A-2P				"ncRNAs / RNA pseudogenes"	ENSG00000207065
RNU5A-3P				"ncRNAs / RNA pseudogenes"	ENSG00000200319
RNU5A-4P				"ncRNAs / RNA pseudogenes"	ENSG00000252397
RNU5A-5P				"ncRNAs / RNA pseudogenes"	ENSG00000222986
RNU5A-6P				"ncRNAs / RNA pseudogenes"	ENSG00000206863
RNU5A-7P				"ncRNAs / RNA pseudogenes"	ENSG00000251788
RNU5A-8P				"ncRNAs / RNA pseudogenes"	ENSG00000200972
RNU5B-1	RNU5B	U5B1	NR_002757	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000200156
RNU5B-2P			NG_007589	"ncRNAs / RNA pseudogenes"	ENSG00000199906
RNU5B-3P			NG_007590	"ncRNAs / RNA pseudogenes"	ENSG00000252410
RNU5B-4P			NG_007591	"ncRNAs / RNA pseudogenes"	ENSG00000200378
RNU5B-5P			NG_007592	"ncRNAs / RNA pseudogenes"	
RNU5B-6P			NG_007593	"ncRNAs / RNA pseudogenes"	ENSG00000252574
RNU5C~withdrawn				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU5D-1	RNU5D	U5DS, U5DL	NR_002755	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000200169
RNU5D-2P				"ncRNAs / RNA pseudogenes"	ENSG00000252521
RNU5E-1	RNU5E	U5E	NR_002754	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000199347
RNU5E-2P				"ncRNAs / RNA pseudogenes"	ENSG00000252056
RNU5E-3P				"ncRNAs / RNA pseudogenes"	ENSG00000251722
RNU5E-4P				"ncRNAs / RNA pseudogenes"	ENSG00000201801
RNU5E-5P				"ncRNAs / RNA pseudogenes"	ENSG00000202249
RNU5E-6P				"ncRNAs / RNA pseudogenes"	ENSG00000202444
RNU5E-7P				"ncRNAs / RNA pseudogenes"	ENSG00000202160
RNU5E-8P				"ncRNAs / RNA pseudogenes"	ENSG00000200372
RNU5E-9P				"ncRNAs / RNA pseudogenes"	ENSG00000223096
RNU5E-10P				"ncRNAs / RNA pseudogenes"	ENSG00000200376
RNU5F-1	RNU5F		NR_002753	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000199377
RNU5F-2P				"ncRNAs / RNA pseudogenes"	ENSG00000251875
RNU5F-3P				"ncRNAs / RNA pseudogenes"	ENSG00000200637
RNU5F-4P				"ncRNAs / RNA pseudogenes"	ENSG00000252390
RNU5F-5P				"ncRNAs / RNA pseudogenes"	ENSG00000251984
RNU5F-6P				"ncRNAs / RNA pseudogenes"	ENSG00000199849
RNU5F-7P				"ncRNAs / RNA pseudogenes"	ENSG00000200566
RNU5F-8P				"ncRNAs / RNA pseudogenes"	ENSG00000251750
RNU6-1	RNU6A	U6	NR_004394	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206625
RNU6-2	RNU6B	U6	NR_002752	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207447
RNU6-3				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207472
RNU6-4				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-5				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-6				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-7				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-8				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-9				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-10				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-11				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-12				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-13				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-14				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-15			NR_028372	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207264
RNU6-16				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-17				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-18				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-19				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-20				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-21			NR_028369	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207441
RNU6-22				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-23				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-24				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-25				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-26				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-27				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-28				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-29				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-30				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-31				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-32				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-33				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-34				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-35				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-36				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-37				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-38				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206812
RNU6-39				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-40				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-41				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-42			NR_028373	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206892
RNU6-43				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-44				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-45				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-46				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-47				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-48				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	
RNU6-49				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000206983
RNU6-50	RNU6P1, RNU6-50P	U6	NG_001248	"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000199226
RNU6-51				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000251902
RNU6-52				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000252675
RNU6-53				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000202237
RNU6-54				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000202433
RNU6-55				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000223024
RNU6-56				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000252795
RNU6-57				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000223280
RNU6-58				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000252952
RNU6-59				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000207518
RNU6-60				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000201662
RNU6-61				"ncRNAs / Small nuclear and cytoplasmic RNAs: Nuclear"	ENSG00000202398
